ID,Club,Player Name,Age,Position,Matches Played,Goals,Assists,xG per 90
1,Arsenal,Aaron Ramsdale,24,GK,38,0,0,0.00
2,Arsenal,Gabriel Magalhães,24,DF,38,3,0,0.13
3,Arsenal,Bukayo Saka,20,FW,38,14,11,0.32
4,Arsenal,Martin Ødegaard,23,MF,37,15,7,0.29
5,Arsenal,Ben White,24,DF,38,2,5,0.04
6,Arsenal,Granit Xhaka,29,MF,37,7,7,0.14
7,Arsenal,Gabriel Martinelli,21,FW,36,15,5,0.30
8,Arsenal,Thomas Partey,29,MF,33,3,0,0.08
9,Arsenal,William Saliba,21,DF,27,2,1,0.03
10,Arsenal,Oleksandr Zinchenko,25,DF,27,1,2,0.06
11,Arsenal,Gabriel Jesus,25,FW,26,11,6,0.61
12,Arsenal,Leandro Trossard,27,FW,20,1,10,0.18
13,Arsenal,Eddie Nketiah,23,FW,30,4,1,0.68
14,Arsenal,Jorginho,30,MF,14,0,1,0.02
15,Arsenal,Kieran Tierney,25,DF,27,0,1,0.04
16,Arsenal,Takehiro Tomiyasu,23,DF,21,0,1,0.03
17,Arsenal,Rob Holding,26,DF,14,1,0,0.05
18,Arsenal,Jakub Kiwior,22,DF,7,1,0,0.02
19,Arsenal,Fabio Vieira,22,"MF,FW",22,1,2,0.15
20,Arsenal,Albert Sambi Lokonga,22,MF,6,0,0,0.00
21,Arsenal,Mohamed Elneny,30,MF,5,0,0,0.00
22,Arsenal,Reiss Nelson,22,FW,11,3,2,0.46
23,Arsenal,Emile Smith Rowe,22,"MF,FW",12,0,2,0.14
24,Arsenal,Cédric Soares,30,DF,2,0,0,0.00
25,Arsenal,Marquinhos,19,MF,1,0,0,0.00
26,Arsenal,Ethan Nwaneri,15,FW,1,0,0,0.00
27,Arsenal,Mauro Bandeira,18,MF,0,0,0,0.00
28,Arsenal,Nathan Butler-Oyedeji,19,FW,0,0,0,0.00
29,Arsenal,Amario Duberry,17,FW,0,0,0,0.00
30,Arsenal,Karl Jakob Hein,20,GK,0,0,0,0.00
31,Arsenal,Nicolas Pépé,27,"FW,MF",0,0,0,0.00
32,Arsenal,Matthew Smith,21,MF,0,0,0,0.00
33,Arsenal,Lino Sousa,17,DF,0,0,0,0.00
34,Arsenal,Matt Turner,28,GK,0,0,0,0.00
35,Arsenal,Reuell Walters,17,DF,0,0,0,0.00
36,Chelsea,Kai Havertz,23,"FW,MF",35,7,1,0.41
37,Chelsea,Kepa Arrizabalaga,27,GK,29,0,0,0.00
38,Chelsea,Thiago Silva,37,DF,27,0,2,0.06
39,Chelsea,Raheem Sterling,27,"FW,MF",28,6,3,0.29
40,Chelsea,Marc Cucurella,24,DF,24,0,2,0.02
41,Chelsea,Kalidou Koulibaly,31,DF,23,2,1,0.05
42,Chelsea,Mason Mount,23,"MF,FW",24,3,2,0.11
43,Chelsea,Ruben Loftus-Cheek,26,"MF,DF",25,0,1,0.05
44,Chelsea,Conor Gallagher,22,MF,35,3,1,0.14
45,Chelsea,Trevoh Chalobah,23,DF,25,0,0,0.05
46,Chelsea,Enzo Fernández,21,MF,18,0,2,0.05
47,Chelsea,Mateo Kovačić,28,MF,27,1,2,0.09
48,Chelsea,César Azpilicueta,32,DF,25,0,0,0.02
49,Chelsea,Ben Chilwell,25,"DF,MF",23,2,2,0.09
50,Chelsea,Jorginho,30,MF,18,2,0,0.12
51,Chelsea,Reece James,22,"DF,MF",16,1,1,0.07
52,Chelsea,Wesley Fofana,21,DF,15,1,0,0.05
53,Chelsea,João Félix,22,"FW,MF",16,4,0,0.47
54,Chelsea,Benoît Badiashile,21,DF,11,1,0,0.12
55,Chelsea,Edouard Mendy,30,GK,10,0,0,0.00
56,Chelsea,Christian Pulisic,23,"FW,DF",24,1,1,0.18
57,Chelsea,Lewis Hall,17,DF,9,0,0,0.12
58,Chelsea,Mykhailo Mudryk,21,"FW,MF",15,0,2,0.25
59,Chelsea,Noni Madueke,20,FW,12,1,0,0.13
60,Chelsea,Hakim Ziyech,29,"FW,MF",18,0,3,0.08
61,Chelsea,N'Golo Kanté,31,MF,7,0,1,0.05
62,Chelsea,Pierre-Emerick Aubameyang,33,FW,15,1,0,0.24
63,Chelsea,Denis Zakaria,25,MF,7,0,0,0.04
64,Chelsea,Carney Chukwuemeka,18,"MF,FW",14,0,0,0.10
65,Chelsea,Armando Broja,20,FW,12,1,0,0.26
66,Chelsea,David Datro Fofana,19,FW,3,0,0,0.31
67,Chelsea,Omari Hutchinson,18,FW,1,0,0,0.00
68,Chelsea,Ethan Ampadu,21,"DF,MF",0,0,0,0.00
69,Chelsea,Marcus Bettinelli,30,GK,0,0,0,0.00
70,Chelsea,Alfie Gilchrist,18,DF,0,0,0,0.00
71,Chelsea,Billy Gilmour,21,MF,0,0,0,0.00
72,Chelsea,Callum Hudson-Odoi,21,"FW,MF",0,0,0,0.00
73,Chelsea,Bashir Humphreys,19,DF,0,0,0,0.00
74,Chelsea,Harvey Vale,18,MF,0,0,0,0.00
75,Chelsea,Ethan Wady,20,GK,0,0,0,0.00
76,Everton,James Tarkowski,29,DF,38,1,1,0.08
77,Everton,Alex Iwobi,26,"MF,FW",38,2,7,0.07
78,Everton,Jordan Pickford,28,GK,37,0,1,0.00
79,Everton,Idrissa Gana Gueye,32,MF,33,0,1,0.03
80,Everton,Vitaliy Mykolenko,23,DF,34,0,0,0.02
81,Everton,Amadou Onana,20,MF,33,1,2,0.11
82,Everton,Dwight McNeil,22,"FW,MF",36,7,3,0.13
83,Everton,Demarai Gray,26,"FW,MF",33,4,1,0.22
84,Everton,Conor Coady,29,DF,24,1,1,0.04
85,Everton,Séamus Coleman,33,DF,23,1,0,0.02
86,Everton,Abdoulaye Doucouré,29,MF,25,5,2,0.14
87,Everton,Dominic Calvert-Lewin,25,FW,17,2,1,0.45
88,Everton,Nathan Patterson,20,"DF,MF",19,0,0,0.03
89,Everton,Anthony Gordon,21,FW,16,3,0,0.27
90,Everton,Neal Maupay,25,FW,27,1,0,0.39
91,Everton,Michael Keane,29,DF,12,1,2,0.12
92,Everton,Ben Godfrey,24,DF,13,0,1,0.14
93,Everton,James Garner,21,"MF,DF",16,0,1,0.09
94,Everton,Yerry Mina,27,DF,7,2,0,0.22
95,Everton,Mason Holgate,25,DF,8,0,0,0.18
96,Everton,Tom Davies,24,MF,19,0,0,0.19
97,Everton,Ellis Simms,21,FW,11,1,0,0.34
98,Everton,Salomón Rondón,32,FW,7,0,0,0.66
99,Everton,Asmir Begović,35,GK,1,0,0,0.00
100,Everton,Dele Alli,26,MF,2,0,0,0.00
101,Everton,Isaac Price,18,MF,1,0,0,0.00
102,Everton,Rúben Vinagre,23,"DF,MF",2,0,0,0.00
103,Everton,Thomas Cannon,19,FW,2,0,0,0.32
